GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000008130	1	1682671	1711896	90	15	378434	-1.1084	0.86615	NADK
ENSG00000078369	1	1716729	1822495	203	30	342923	-1.5196	0.93569	GNB1
ENSG00000169885	1	1846266	1848735	14	5	441146	-1.3912	0.91792	CALML6
ENSG00000178821	1	1849029	1850712	7	3	378531	-1.8555	0.96824	TMEM52
ENSG00000142609	1	1853396	1935276	452	41	275089	-1.2061	0.88611	C1orf222
ENSG00000187730	1	1950780	1962192	32	8	208564	1.2672	0.10254	GABRD
ENSG00000067606	1	1981909	2116834	645	54	364595	-0.64945	0.74198	PRKCZ
ENSG00000162585	1	2115903	2144159	74	20	379928	-0.40866	0.65861	C1orf86
ENSG00000269554	1	2121237	2123179	5	3	409064	-1.1798	0.88097	AL590822.2
ENSG00000203301	1	2143360	2145620	9	5	256748	-1.6035	0.94559	AL590822.1
ENSG00000157933	1	2160134	2241558	328	62	351363	0.041873	0.4833	SKI
ENSG00000116151	1	2252692	2323146	402	52	380079	-1.2881	0.90114	MORN1
ENSG00000269753	1	2258581	2259042	1	1	386846	-0.37562	0.6464	AL589739.1
ENSG00000157916	1	2323267	2336883	49	16	397371	-0.62169	0.73293	RER1
ENSG00000157911	1	2336236	2345236	39	15	395924	-0.44064	0.67026	PEX10
ENSG00000149527	1	2357419	2436969	382	59	340573	-0.81732	0.79313	PLCH2
ENSG00000157881	1	2439972	2458039	86	19	374191	-0.36581	0.64275	PANK4
ENSG00000197921	1	2460184	2461684	6	4	414738	-0.86746	0.80715	HES5
ENSG00000157873	1	2487078	2496821	33	9	375365	0.50434	0.30701	TNFRSF14
ENSG00000157870	1	2517930	2522908	20	10	395549	-0.79067	0.78543	FAM213B
ENSG00000142606	1	2522078	2564481	215	17	390968	0.021785	0.49131	MMEL1
ENSG00000215912	1	2567415	2718286	462	30	153298	-1.2318	0.89098	TTC34
ENSG00000169717	1	2938046	2939465	7	3	420597	-0.39211	0.65251	ACTRT2
ENSG00000142611	1	2985732	3355185	1879	196	338980	0.57986	0.28101	PRDM16
ENSG00000130762	1	3370990	3397677	134	21	366450	0.046358	0.48151	ARHGEF16
ENSG00000162591	1	3406484	3528059	636	91	320715	-1.4718	0.92947	MEGF6
ENSG00000158109	1	3541566	3546691	20	7	423455	-0.86488	0.80645	TPRG1L
ENSG00000116213	1	3547331	3569325	85	22	309860	-0.5962	0.72448	WRAP73
ENSG00000078900	1	3569084	3652765	367	64	334786	-0.71966	0.76413	TP73
ENSG00000162592	1	3668962	3688209	92	23	361017	-0.26709	0.6053	CCDC27
ENSG00000235169	1	3689352	3692546	15	7	357532	-0.30484	0.61976	SMIM1
ENSG00000130764	1	3696784	3713068	94	19	402544	0.42367	0.3359	LRRC47
ENSG00000116198	1	3728645	3773778	351	23	406705	-0.4369	0.66891	CEP104
ENSG00000169598	1	3773845	3801993	194	29	353099	-0.32783	0.62848	DFFB
ENSG00000198912	1	3805689	3816857	58	12	417154	-1.2401	0.89252	C1orf174
ENSG00000196581	1	4714792	4852594	889	112	405960	-2.0377	0.97921	AJAP1
ENSG00000131697	1	5922871	6052533	596	36	406701	0.1139	0.45466	NPHP4
ENSG00000069424	1	6051526	6161253	431	71	356205	-0.11511	0.54582	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	442202	-0.69882	0.75767	AL035406.1
ENSG00000116254	1	6161853	6240183	361	44	368438	1.2048	0.11413	CHD5
ENSG00000116251	1	6241329	6269449	80	17	384824	1.1411	0.12691	RPL22
ENSG00000158286	1	6265535	6281359	53	9	401937	0.041878	0.4833	RNF207
ENSG00000116237	1	6281253	6296032	46	9	405872	1.1374	0.12768	ICMT
ENSG00000173673	1	6304252	6305638	6	3	409971	-0.40272	0.65642	HES3
ENSG00000158292	1	6307406	6321035	45	5	366678	1.3125	0.094684	GPR153
ENSG00000097021	1	6324329	6454451	568	30	380295	-0.8862	0.81225	ACOT7
ENSG00000069812	1	6472478	6484730	46	9	357886	-0.15128	0.56012	HES2
ENSG00000187017	1	6484848	6521430	132	18	371210	-0.39917	0.65512	ESPN
ENSG00000215788	1	6521211	6526255	23	11	334135	-0.82032	0.79398	TNFRSF25
ENSG00000171680	1	6526152	6580121	207	43	373157	-0.023744	0.50947	PLEKHG5
ENSG00000162408	1	6581407	6614595	178	11	375268	0.52562	0.29958	NOL9
ENSG00000173662	1	6615241	6639817	103	23	388611	0.50546	0.30662	TAS1R1
ENSG00000204859	1	6640061	6649340	22	11	400379	1.2499	0.10566	ZBTB48
ENSG00000162413	1	6650784	6674667	83	27	412657	0.83143	0.20286	KLHL21
ENSG00000116273	1	6673745	6684093	32	9	382713	0.80282	0.21104	PHF13
ENSG00000041988	1	6684926	6695646	44	12	419942	2.2235	0.013091	THAP3
ENSG00000007923	1	6694228	6761984	225	37	399940	1.4609	0.072023	DNAJC11
ENSG00000171735	1	6845384	7829766	3679	268	367173	0.57701	0.28197	CAMTA1
ENSG00000049245	1	7831329	7841492	40	12	447088	0.94886	0.17135	VAMP3
ENSG00000049246	1	7844380	7905237	290	30	406707	0.36866	0.35619	PER3
ENSG00000049247	1	7903143	7913572	44	15	437068	-0.66785	0.74788	UTS2
ENSG00000049249	1	7979907	8000926	60	12	402668	-1.4321	0.92394	TNFRSF9
ENSG00000116288	1	8014351	8045565	104	23	401989	0.75477	0.22519	PARK7
ENSG00000116285	1	8064464	8086368	49	13	412114	0.18074	0.42829	ERRFI1
ENSG00000162426	1	8377886	8404227	107	20	398141	0.83729	0.20121	SLC45A1
ENSG00000142599	1	8412457	8877702	1135	41	390481	1.0384	0.14954	RERE
ENSG00000074800	1	8921061	8939308	47	14	348247	-0.79376	0.78633	ENO1
ENSG00000131686	1	9005926	9035151	158	37	384302	0.54138	0.29412	CA6
ENSG00000197241	1	9063359	9086404	95	27	330288	-0.5219	0.69913	SLC2A7
ENSG00000142583	1	9095166	9148537	264	30	339334	1.5379	0.062033	SLC2A5
ENSG00000180758	1	9160364	9189229	111	20	358864	0.63691	0.26209	GPR157
ENSG00000049239	1	9294834	9331396	145	30	352158	0.53897	0.29495	H6PD
ENSG00000171621	1	9352939	9429591	467	70	376117	-1.2255	0.8898	SPSB1
ENSG00000171612	1	9599541	9645237	97	20	325243	1.7444	0.040544	SLC25A33
ENSG00000188807	1	9648932	9674935	68	18	371909	2.1543	0.015609	TMEM201
ENSG00000171608	1	9711790	9789172	250	57	368020	0.30518	0.38011	PIK3CD
ENSG00000179840	1	9712668	9714644	7	3	428284	1.4648	0.071485	C1orf200
ENSG00000171603	1	9789084	9884584	245	42	373614	0.75929	0.22384	CLSTN1
ENSG00000178585	1	9908334	9970394	189	35	365852	0.85929	0.19509	CTNNBIP1
ENSG00000162441	1	9982173	10003465	64	16	381055	-0.48254	0.68529	LZIC
ENSG00000173614	1	10003486	10045559	114	21	390293	-1.512	0.93474	NMNAT1
ENSG00000162444	1	10057264	10076078	60	11	375104	-1.3254	0.90748	RBP7
ENSG00000130939	1	10092890	10241297	487	39	377239	-0.87157	0.80828	UBE4B
ENSG00000054523	1	10270863	10441661	675	25	408525	0.48564	0.31361	KIF1B
ENSG00000142657	1	10458649	10480201	64	12	395418	0.68582	0.24641	PGD
ENSG00000251503	1	10490159	10512210	74	10	369129	-0.60394	0.72706	APITD1-CORT
ENSG00000175279	1	10490159	10512210	74	10	369129	-0.60394	0.72706	APITD1
ENSG00000241563	1	10509776	10511959	4	2	446981	-0.78144	0.78273	CORT
ENSG00000160049	1	10516579	10532583	47	16	323130	-0.22466	0.58888	DFFA
ENSG00000142655	1	10532345	10690815	500	39	389893	-0.74691	0.77244	PEX14
ENSG00000130940	1	10696661	10856707	539	87	344309	-0.52491	0.70018	CASZ1
ENSG00000175262	1	11006528	11042094	159	25	382482	-0.28668	0.61282	C1orf127
ENSG00000120948	1	11072414	11085796	32	6	395619	-0.52345	0.69967	TARDBP
ENSG00000009724	1	11086580	11107290	91	16	358596	-0.23974	0.59474	MASP2
ENSG00000116649	1	11114641	11120081	12	5	336033	-0.6389	0.73855	SRM
ENSG00000171824	1	11126675	11159938	117	8	370481	-0.51223	0.69575	EXOSC10
ENSG00000198793	1	11166592	11322564	393	15	403083	-0.73023	0.76738	MTOR
ENSG00000171819	1	11249398	11256038	18	4	431848	-0.56009	0.71229	ANGPTL7
ENSG00000120942	1	11333263	11356106	40	7	404321	0.38814	0.34896	UBIAD1
ENSG00000204624	1	11539223	11597641	179	22	410189	0.37228	0.35484	PTCHD2
ENSG00000116661	1	11708424	11715842	26	14	194966	0.59388	0.2763	FBXO2
ENSG00000132879	1	11714432	11723384	32	11	331032	0.089695	0.46426	FBXO44
ENSG00000116663	1	11724181	11734411	44	11	347964	0.2374	0.40617	FBXO6
ENSG00000116670	1	11734537	11751707	73	16	361378	0.2566	0.39874	MAD2L2
ENSG00000162490	1	11751786	11785914	122	25	285545	-0.73366	0.76842	DRAXIN
ENSG00000177674	1	11796141	11814859	68	12	357849	-0.25792	0.60177	AGTRAP
ENSG00000215910	1	11821844	11849642	175	15	397331	1.5296	0.063052	C1orf167
ENSG00000177000	1	11845780	11866977	102	16	410774	0.78503	0.21622	MTHFR
ENSG00000011021	1	11866207	11903201	242	21	397034	0.083914	0.46656	CLCN6
ENSG00000175206	1	11905766	11908402	20	6	325814	-0.46314	0.67837	NPPA
ENSG00000120937	1	11917521	11918988	4	2	386936	-1.3982	0.91898	NPPB
ENSG00000116685	1	11979648	11986485	27	9	381604	-0.27343	0.60774	KIAA2013
ENSG00000083444	1	11994262	12035595	154	21	391981	-1.2505	0.89444	PLOD1
ENSG00000116688	1	12040238	12073571	113	15	348276	-0.15067	0.55988	MFN2
ENSG00000116691	1	12079523	12092102	27	7	388752	0.70786	0.23952	MIIP
ENSG00000120949	1	12123434	12204264	243	49	318910	1.7094	0.043686	TNFRSF8
ENSG00000028137	1	12227060	12269285	157	22	325868	2.3451	0.009511	TNFRSF1B
ENSG00000048707	1	12290124	12572099	728	37	387826	-0.47595	0.68295	VPS13D
ENSG00000162496	1	12627939	12677737	194	40	397321	-0.87049	0.80798	DHRS3
ENSG00000204518	1	12704566	12727097	66	9	359487	0.5923	0.27683	AADACL4
ENSG00000188984	1	12776118	12788726	59	11	392964	-0.73393	0.76851	AADACL3
ENSG00000157330	1	12806163	12823847	84	14	356120	-0.57172	0.71624	C1orf158
ENSG00000116726	1	12834984	12838049	11	3	303531	-0.22596	0.58938	PRAMEF12
ENSG00000116721	1	12851546	12856777	37	10	24141	1.7174	0.042949	PRAMEF1
ENSG00000204513	1	12884468	12891264	38	7	16690	0.18355	0.42718	PRAMEF11
ENSG00000179172	1	12907261	12908578	10	5	197250	-1.7726	0.96185	HNRNPCL1
ENSG00000120952	1	12916941	12921764	49	8	175517	-0.68972	0.75482	PRAMEF2
ENSG00000243073	1	12939045	12946025	1	1	387105	0.40157	0.344	PRAMEF4
ENSG00000187545	1	12952727	12958101	1	1	10830	0.55368	0.2899	PRAMEF10
ENSG00000204479	1	13716092	13719089	7	2	16672	-0.17001	0.5675	PRAMEF17
ENSG00000204478	1	13736907	13747803	2	1	17477	-0.5931	0.72344	PRAMEF20
ENSG00000162494	1	13801445	13840543	208	49	315798	-0.10785	0.54294	LRRC38
ENSG00000162493	1	13909960	13944452	146	36	356425	0.84448	0.1992	PDPN
ENSG00000116731	1	14026693	14151574	450	38	407808	0.20969	0.41695	PRDM2
ENSG00000189337	1	14925200	15444539	2433	245	378236	0.57075	0.28408	KAZN
ENSG00000171729	1	15479028	15546976	408	35	411362	-0.58412	0.72043	TMEM51
ENSG00000204464	1	15490840	15497813	34	11	385152	-1.084	0.86081	C1orf195
ENSG00000142621	1	15573768	15726779	633	71	362937	1.2637	0.10316	FHAD1
ENSG00000142634	1	15736391	15756839	97	24	368463	-0.1118	0.54451	EFHD2
ENSG00000162438	1	15764935	15775737	39	15	366833	-0.15445	0.56137	CTRC
ENSG00000142615	1	15783223	15798586	71	13	411464	-0.4565	0.67599	CELA2A
ENSG00000215704	1	15792404	15817895	106	21	385745	-0.73487	0.76879	CELA2B
ENSG00000132906	1	15817327	15853029	158	13	411629	-1.2036	0.88563	CASP9
ENSG00000116138	1	15853308	15918874	263	15	395179	-1.0718	0.85809	DNAJC16
ENSG00000116771	1	15898848	15911605	68	8	380197	-0.6595	0.74521	AGMAT
ENSG00000197312	1	15943995	15995539	154	12	389601	-0.3605	0.64076	DDI2
ENSG00000215695	1	15986364	15988217	5	3	420758	-1.0618	0.85583	RSC1A1
ENSG00000116786	1	16010827	16061264	195	22	400722	-0.87722	0.80982	PLEKHM2
ENSG00000162461	1	16062900	16067891	11	6	347032	-0.77603	0.78114	SLC25A34
ENSG00000162460	1	16068917	16074477	31	10	355064	-0.37629	0.64665	TMEM82
ENSG00000162458	1	16083102	16113089	118	22	396322	0.90763	0.18204	FBLIM1
ENSG00000065526	1	16174359	16266955	252	29	398611	-0.63702	0.73794	SPEN
ENSG00000116809	1	16268364	16302627	87	26	398014	-1.4057	0.9201	ZBTB17
ENSG00000183888	1	16330731	16335302	27	12	394972	-2.1195	0.98297	C1orf64
ENSG00000173641	1	16340523	16346089	49	6	451165	-0.88116	0.81089	HSPB7
ENSG00000186510	1	16345370	16360545	114	19	389982	-0.25521	0.60072	CLCNKA
ENSG00000184908	1	16370272	16383803	152	20	361249	-0.18603	0.57379	CLCNKB
ENSG00000185519	1	16384264	16400127	118	19	249983	1.0526	0.14626	FAM131C
ENSG00000142627	1	16450832	16482582	80	23	398368	-0.53419	0.70339	EPHA2
ENSG00000142632	1	16524349	16539104	68	9	404181	0.1943	0.42297	ARHGEF19
ENSG00000204377	1	16555368	16556038	4	2	425603	-0.28714	0.613	C1orf134
ENSG00000132881	1	16558195	16563657	20	9	418538	-0.44606	0.67222	RSG1
ENSG00000037637	1	16573334	16678949	283	16	396178	-0.4188	0.66232	FBXO42
ENSG00000055070	1	16679070	16724640	131	20	403523	0.33576	0.36853	SZRD1
ENSG00000187144	1	16713612	16763919	174	33	398193	0.086185	0.46566	SPATA21
ENSG00000157191	1	16767167	16786573	52	14	398843	0.45719	0.32377	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	17477	-0.94433	0.8275	FAM231B
ENSG00000058453	1	17066768	17299474	302	25	237232	0.23538	0.40696	CROCC
ENSG00000117122	1	17300997	17307330	25	7	334244	1.0498	0.14691	MFAP2
ENSG00000159363	1	17312453	17338423	71	18	393337	2.1939	0.01412	ATP13A2
ENSG00000117118	1	17345217	17380665	136	16	429713	1.9394	0.026227	SDHB
ENSG00000117115	1	17393256	17445948	309	21	400398	0.5641	0.28634	PADI2
ENSG00000142623	1	17531621	17572500	188	54	350664	-0.38181	0.6487	PADI1
ENSG00000142619	1	17575593	17610728	207	35	426208	-1.4268	0.92318	PADI3
ENSG00000159339	1	17634690	17690499	365	34	364376	0.29615	0.38356	PADI4
ENSG00000269468	1	17655507	17676070	164	16	417892	0.49595	0.30996	AC004824.2
ENSG00000179051	1	17733256	17766220	113	23	392086	0.97261	0.16537	RCC2
ENSG00000074964	1	17866330	18024369	475	59	367042	-0.47655	0.68316	ARHGEF10L
ENSG00000117148	1	18081808	18153558	240	31	338582	0.20115	0.42029	ACTL8
ENSG00000117154	1	18434240	18704977	1178	153	377132	0.42387	0.33583	IGSF21
ENSG00000179023	1	18807424	18812478	31	8	416653	0.26779	0.39443	KLHDC7A
ENSG00000009709	1	18957500	19075360	463	81	351919	0.42231	0.3364	PAX7
ENSG00000179002	1	19166093	19186176	137	26	361907	1.1325	0.12872	TAS1R2
ENSG00000255275	1	19175767	19247615	462	61	363045	1.8566	0.031685	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	201	36	379388	2.3438	0.0095445	ALDH4A1
ENSG00000169991	1	19230775	19283180	258	42	369433	0.53498	0.29633	IFFO2
ENSG00000127481	1	19401000	19536770	410	38	409112	0.41446	0.33927	UBR4
ENSG00000127463	1	19542158	19578046	136	20	426946	0.49265	0.31113	EMC1
ENSG00000053372	1	19578033	19586622	58	10	438546	0.35616	0.36086	MRTO4
ENSG00000162482	1	19609052	19615744	35	7	379687	-0.54248	0.70625	AKR7A3
ENSG00000053371	1	19630459	19638640	31	14	366728	-0.13585	0.55403	AKR7A2
ENSG00000040487	1	19638820	19655794	104	17	402546	-0.11374	0.54528	PQLC2
ENSG00000077549	1	19665267	19812066	745	39	404008	-0.18342	0.57277	CAPZB
ENSG00000270136	1	19923473	19984549	287	36	382193	0.59968	0.27436	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	141	17	397165	1.1175	0.13189	MINOS1
ENSG00000158747	1	19967048	19984945	91	30	342712	-0.11977	0.54767	NBL1
ENSG00000158748	1	19991780	20006055	55	13	389971	-0.42254	0.66369	HTR6
ENSG00000162542	1	20008706	20126438	459	67	390679	-0.22187	0.58779	TMCO4
ENSG00000178828	1	20140523	20141771	7	4	354956	0.42485	0.33547	RNF186
ENSG00000169914	1	20209006	20239438	89	18	416489	-0.82653	0.79575	OTUD3
ENSG00000188784	1	20246502	20250110	23	8	437847	-0.91761	0.82059	PLA2G2E
ENSG00000188257	1	20301925	20306932	19	9	388032	-0.30294	0.61903	PLA2G2A
ENSG00000127472	1	20354672	20417683	261	28	421509	0.82052	0.20596	PLA2G5
ENSG00000117215	1	20438432	20446050	28	12	332675	0.19508	0.42266	PLA2G2D
ENSG00000158786	1	20465819	20476879	27	13	213500	0.82343	0.20513	PLA2G2F
ENSG00000187980	1	20487746	20503917	68	17	406029	0.10679	0.45748	PLA2G2C
ENSG00000162543	1	20512578	20522541	14	7	376554	0.60811	0.27156	UBXN10
ENSG00000158816	1	20617412	20681387	323	36	402470	-1.4083	0.92048	VWA5B1
ENSG00000162545	1	20808884	20812713	7	5	416846	1.4426	0.074561	CAMK2N1
ENSG00000090432	1	20825943	20834654	38	15	410126	0.75728	0.22444	MUL1
ENSG00000183114	1	20878932	20881512	4	1	440023	0.69283	0.24421	FAM43B
ENSG00000158825	1	20915441	20945401	161	29	374780	-0.42332	0.66397	CDA
ENSG00000158828	1	20959948	20978004	97	17	404447	-1.0688	0.85741	PINK1
ENSG00000244038	1	20978270	20988000	49	13	375356	-0.13326	0.553	DDOST
ENSG00000117245	1	20990507	21044510	276	55	377995	0.36528	0.35745	KIF17
ENSG00000189410	1	21046225	21059330	44	13	414603	2.1814	0.014578	SH2D5
ENSG00000127483	1	21069154	21113816	120	21	389017	3.6333	0.00013993	HP1BP3
ENSG00000075151	1	21132963	21503377	974	42	385662	4.0956	2.1058e-05	EIF4G3
ENSG00000117298	1	21543740	21671997	486	65	409213	-0.19471	0.57719	ECE1
ENSG00000142794	1	21766621	21811498	254	20	330492	-0.12028	0.54787	NBPF3
ENSG00000162551	1	21835858	21904905	379	41	409065	0.055507	0.47787	ALPL
ENSG00000076864	1	21922708	21995801	335	58	407369	-0.24491	0.59674	RAP1GAP
ENSG00000090686	1	22004791	22110099	461	47	406109	0.052984	0.47887	USP48
ENSG00000187942	1	22138758	22151714	51	22	378697	0.69217	0.24441	LDLRAD2
ENSG00000142798	1	22148738	22263790	491	54	400901	0.88222	0.18883	HSPG2
ENSG00000219073	1	22303514	22325135	268	22	191343	0.19202	0.42386	CELA3B
ENSG00000142789	1	22328149	22339032	104	19	161161	-0.29305	0.61526	CELA3A
ENSG00000070831	1	22379120	22419437	150	27	389476	1.102	0.13522	CDC42
ENSG00000162552	1	22443798	22470462	120	27	412816	1.0677	0.14283	WNT4
ENSG00000184677	1	22778344	22857650	212	33	405390	1.9158	0.027694	ZBTB40
ENSG00000070886	1	22890057	22930087	203	34	366894	0.77921	0.21793	EPHA8
ENSG00000173372	1	22962999	22966101	9	5	429095	0.51596	0.30294	C1QA
ENSG00000159189	1	22970123	22974603	25	5	407716	0.19541	0.42253	C1QC
ENSG00000173369	1	22979255	22988031	39	11	411322	-1.3523	0.91185	C1QB
ENSG00000133216	1	23037332	23241818	656	80	351849	1.4195	0.077877	EPHB2
ENSG00000215906	1	23279536	23291831	49	15	402702	-0.15739	0.56253	LACTBL1
ENSG00000227868	1	23337327	23342343	13	5	435104	0.17384	0.431	C1orf234
ENSG00000004487	1	23345941	23410182	108	19	401827	-0.37251	0.64524	KDM1A
ENSG00000169641	1	23410516	23504301	225	33	396115	-0.42189	0.66345	LUZP1
ENSG00000179546	1	23516993	23521222	11	4	444901	-0.46634	0.67951	HTR1D
ENSG00000125944	1	23630264	23670829	93	17	396901	0.12937	0.44853	HNRNPR
ENSG00000125945	1	23685941	23695935	36	9	437805	-0.18872	0.57484	ZNF436
ENSG00000249087	1	23695490	23698332	4	2	442297	-0.056998	0.52273	C1orf213
ENSG00000204219	1	23707554	23751233	165	31	397703	-0.14443	0.55742	TCEA3
ENSG00000088280	1	23755056	23811061	180	28	386016	0.4258	0.33513	ASAP3
ENSG00000007968	1	23832922	23857712	84	17	388736	0.18103	0.42817	E2F2
ENSG00000117318	1	23884409	23886285	10	5	325085	-0.80921	0.7908	ID3
ENSG00000197880	1	23907985	23967058	137	36	348759	0.58314	0.2799	MDS2
ENSG00000142676	1	24018269	24022915	16	6	383923	0.37819	0.35264	RPL11
ENSG00000011007	1	24069645	24088549	47	11	373916	-0.76541	0.77799	TCEB3
ENSG00000057757	1	24104895	24114722	17	10	324789	0.86822	0.19264	PITHD1
ENSG00000011009	1	24117460	24122029	5	3	432955	-0.077799	0.53101	LYPLA2
ENSG00000117308	1	24122089	24127271	3	2	405800	0.25975	0.39753	GALE
ENSG00000117305	1	24128375	24165110	69	10	378926	0.60199	0.27359	HMGCL
ENSG00000179163	1	24171567	24194784	64	10	317345	-0.43911	0.66971	FUCA1
ENSG00000188822	1	24197016	24285549	300	19	333536	-0.31311	0.6229	CNR2
ENSG00000189266	1	24285599	24289952	5	2	172199	-0.27331	0.60769	PNRC2
ENSG00000188529	1	24291294	24307417	12	5	111339	0.27128	0.39309	SRSF10
ENSG00000142661	1	24382525	24438665	284	31	380058	0.20223	0.41987	MYOM3
ENSG00000142677	1	24446261	24469611	96	26	388197	-0.44663	0.67243	IL22RA1
ENSG00000185436	1	24480647	24514449	165	27	372674	-0.72453	0.76563	IFNLR1
ENSG00000158055	1	24645812	24690972	139	34	394790	-0.1926	0.57636	GRHL3
ENSG00000001460	1	24683489	24743424	232	33	409426	-0.56344	0.71343	STPG1
ENSG00000001461	1	24742284	24799466	243	32	406114	-0.051032	0.52035	NIPAL3
ENSG00000117602	1	24829387	24867530	170	26	397096	0.91026	0.18134	RCAN3
ENSG00000184454	1	24882602	24935819	279	33	403809	0.44364	0.32865	NCMAP
ENSG00000133226	1	24958207	24999758	60	13	389631	0.81899	0.20639	SRRM1
ENSG00000169504	1	25071848	25170815	181	31	375859	-1.2301	0.89067	CLIC4
ENSG00000020633	1	25226002	25291612	188	43	362454	0.98056	0.1634	RUNX3
ENSG00000117614	1	25549170	25558993	29	8	365257	-1.2039	0.88568	SYF2
ENSG00000117616	1	25568728	25664704	204	32	190685	0.32038	0.37434	C1orf63
ENSG00000187010	1	25598884	25656936	109	20	102473	0.85181	0.19716	RHD
ENSG00000183726	1	25664408	25688852	61	12	368379	-0.25957	0.6024	TMEM50A
ENSG00000188672	1	25688740	25756683	181	18	339612	-0.17157	0.56811	RHCE
ENSG00000204178	1	25757388	25826700	129	8	389422	0.41131	0.34042	TMEM57
ENSG00000157978	1	25870071	25895377	87	15	384607	1.9109	0.028011	LDLRAP1
ENSG00000117643	1	25943959	26112698	425	39	334651	-0.7359	0.7691	MAN1C1
ENSG00000162430	1	26126667	26144713	64	9	382010	0.098823	0.46064	SEPN1
ENSG00000255054	1	26137961	26150235	48	8	402731	0.18775	0.42554	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	41	5	423085	-0.23341	0.59228	MTFR1L
