IPS_E3	IPS_E3	IPS_E3	IPS_E4	IPS_E4	IPS_E4
ENO1-AS1	2	2	2	2	1	1
CA6	0	0	0	0	0	0
SLC2A7	0	0	0	0	0	0
SLC2A5	1	0	0	0	0	1
GPR157	6	6	2	10	13	9
MIR34A	1	1	1	0	1	1
H6PD	239	146	275	287	189	293
SPSB1	65	55	68	63	60	59
SLC25A33	74	105	67	100	93	74
TMEM201	121	117	114	108	143	108
PIK3CD	610	401	395	516	431	357
C1orf200	0	0	0	0	0	0
CLSTN1	1164	979	949	1144	1006	1048
CTNNBIP1	542	505	518	604	555	496
LZIC	146	84	100	156	112	100
NMNAT1	70	54	45	92	50	60
RBP7	38	24	14	20	26	5
UBE4B	1433	1201	886	1245	1217	765
KIF1B	1742	1089	1101	1659	1183	1167
PGD	3033	2796	2007	2840	2962	1899
APITD1-CORT	0	0	0	0	0	0
APITD1	25	10	12	28	20	12
CORT	1	3	0	0	1	1
DFFA	608	577	519	622	680	483
PEX14	277	226	214	276	251	207
CASZ1	66	66	47	71	63	52
C1orf127	1	1	4	2	1	5
TARDBP	989	707	569	880	793	516
MASP2	0	2	2	0	0	1
SRM	484	478	417	481	566	415
EXOSC10	902	786	710	801	896	680
MTOR	2116	1917	1457	1843	1924	1602
MTOR-AS1	0	1	0	0	1	0
ANGPTL7	0	0	0	1	0	0
UBIAD1	196	208	191	174	184	173
PTCHD2	88	70	53	55	52	38
FBXO2	673	571	717	624	474	570
FBXO44	249	207	165	228	223	213
FBXO6	2	6	8	10	6	16
MAD2L2	1929	1627	1625	1678	1615	1234
DRAXIN	149	138	132	143	123	132
AGTRAP	424	335	345	467	427	351
MTHFR	201	199	208	212	203	184
CLCN6	114	204	102	96	188	109
NPPA-AS1	1	4	1	1	3	1
NPPA	0	0	0	0	0	0
NPPB	2	1	0	0	0	0
KIAA2013	250	237	253	252	258	265
PLOD1	725	640	612	775	813	761
MFN2	697	786	759	794	784	790
MIIP	383	387	394	364	465	347
TNFRSF8	155	230	147	125	151	85
TNFRSF1B	17	21	8	20	17	16
MIR4632	0	0	0	0	0	0
VPS13D	878	578	488	660	583	457
SNORA59B	0	0	0	0	0	0
SNORA59A	0	0	0	0	0	0
DHRS3	551	312	477	530	344	336
AADACL4	0	0	0	0	0	0
AADACL3	9	11	3	10	7	1
C1orf158	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
LOC649330	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF22	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
LOC440563	0	0	0	1	0	0
PRAMEF3	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF16	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
PRAMEF21	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
LRRC38	4	0	3	2	1	3
PDPN	1700	992	1711	1724	1066	1396
PRDM2	216	145	147	187	129	154
KAZN	45	43	40	37	50	53
TMEM51-AS1	10	6	17	15	5	11
TMEM51	72	51	83	101	71	121
FHAD1	9	5	2	9	0	16
EFHD2	165	182	166	174	190	178
CTRC	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	266	223	194	210	204	138
DNAJC16	446	278	307	441	269	286
AGMAT	88	105	66	72	118	67
DDI2	95	88	84	95	66	99
RSC1A1	51	46	41	50	42	43
PLEKHM2	495	572	499	576	659	562
SLC25A34	0	4	4	0	1	5
TMEM82	4	5	11	10	8	10
FBLIM1	359	391	413	368	369	412
UQCRHL	22	9	7	20	6	4
FLJ37453	62	38	32	56	43	43
SPEN	488	368	336	419	342	413
ZBTB17	216	175	123	165	172	162
C1orf64	0	0	0	0	0	0
HSPB7	0	1	0	0	1	2
CLCNKA	6	2	9	3	4	4
CLCNKB	10	9	29	15	5	15
FAM131C	5	3	4	5	2	7
EPHA2	180	335	185	162	368	276
ARHGEF19	428	431	465	422	416	377
RSG1	26	24	23	28	32	20
FBXO42	340	339	210	333	368	225
SZRD1	1006	1068	951	976	1301	978
SPATA21	0	0	0	0	1	0
NECAP2	248	260	224	285	314	289
CROCCP3	42	23	20	41	27	33
MIR3675	0	0	0	0	1	0
NBPF1	71	46	44	67	48	45
CROCCP2	78	67	50	74	90	59
MST1P2	16	14	7	21	11	13
ESPNP	8	4	3	7	4	4
MST1L	26	10	11	34	20	23
CROCC	404	370	282	422	379	321
MFAP2	472	507	483	507	486	494
ATP13A2	742	818	753	661	717	603
SDHB	591	592	456	648	636	447
PADI2	57	54	44	63	69	66
PADI1	2	3	2	2	2	0
PADI3	28	7	45	39	16	36
PADI4	2	1	2	0	3	0
PADI6	0	0	2	0	0	0
RCC2	3590	4007	3141	3433	4309	3061
ARHGEF10L	515	417	460	406	444	341
ACTL8	0	3	2	1	2	0
IGSF21	40	60	45	40	62	35
KLHDC7A	262	467	288	305	551	466
PAX7	0	0	0	2	0	1
TAS1R2	1	0	0	0	0	0
ALDH4A1	459	472	300	427	421	339
MIR4695	0	0	0	0	0	0
IFFO2	102	90	71	78	101	77
UBR4	2251	1974	1367	1654	1822	1397
EMC1	624	594	458	616	628	508
MRTO4	488	415	405	451	491	382
AKR7L	0	1	3	2	4	2
AKR7A3	2	1	3	2	4	0
LOC100506730	25	18	15	16	19	21
AKR7A2	285	283	233	350	373	317
PQLC2	72	98	90	96	108	106
CAPZB	1301	1213	1239	1346	1408	1155
MINOS1	131	176	111	152	146	108
C1orf151-NBL1	0	0	0	0	0	0
NBL1	0	1	0	0	0	0
HTR6	7	6	3	10	4	8
TMCO4	46	35	36	35	27	29
RNF186	0	0	0	0	0	0
OTUD3	255	155	164	240	185	211
PLA2G2E	0	0	0	0	0	0
PLA2G2A	2	1	9	7	5	4
PLA2G5	0	0	1	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	1	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10	8	7	9	15	8	11
VWA5B1	8	7	10	6	7	5
LOC339505	0	0	0	0	0	0
CAMK2N1	25	18	16	24	13	11
MUL1	167	177	198	174	196	203
FAM43B	32	40	16	26	34	19
CDA	37	22	41	39	31	33
PINK1	387	279	365	369	293	410
DDOST	2746	2714	2140	2960	2923	1999
KIF17	107	92	123	115	79	118
SH2D5	133	158	113	76	130	82
HP1BP3	773	489	554	763	565	641
EIF4G3	1481	1049	927	1367	1190	1038
ECE1	430	463	407	437	444	429
LOC100506801	1	1	2	0	1	3
NBPF3	86	85	71	85	107	109
ALPL	1944	1891	1840	1910	2007	1699
RAP1GAP	97	60	98	115	75	74
USP48	822	559	507	779	587	488
LDLRAD2	3	3	3	5	4	5
HSPG2	868	725	809	863	797	950
CELA3B	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0
LINC00339	149	112	93	126	96	80
CDC42	1865	1434	1178	2129	1500	1303
WNT4	55	19	41	66	27	60
ZBTB40	432	532	187	320	619	200
EPHA8	50	69	51	83	60	52
C1QA	0	0	0	0	0	0
C1QC	0	0	0	0	0	0
C1QB	0	0	0	0	0	0
EPHB2	267	241	270	235	240	274
MIR4684	0	0	0	0	0	0
MIR4253	0	0	0	0	0	0
LOC729059	1	0	0	0	0	0
KDM1A	4056	3452	3154	3964	3797	3083
MIR3115	0	0	0	0	0	0
LUZP1	884	678	848	815	689	828
HTR1D	240	84	153	256	55	119
HNRNPR	2011	1661	1428	1989	1820	1481
ZNF436	29	30	15	20	22	23
C1orf213	5	9	4	10	4	4
TCEA3	1	1	2	2	1	1
ASAP3	496	485	430	484	497	395
E2F2	37	58	41	60	77	48
ID3	375	683	451	457	922	689
MDS2	0	1	1	0	0	1
RPL11	12045	8168	8222	12048	9440	7963
TCEB3	746	652	697	655	662	709
LOC100506963	26	15	12	20	23	22
PITHD1	551	533	471	513	539	480
LYPLA2	411	641	431	411	599	418
GALE	90	106	67	96	119	85
HMGCL	336	187	231	366	197	232
FUCA1	182	137	153	232	165	158
CNR2	0	0	0	0	0	0
MIR378F	0	0	0	0	0	0
PNRC2	815	588	415	756	675	432
SRSF10	1376	999	918	1373	999	927
MYOM3	3	1	1	4	0	7
IL22RA1	5	4	7	3	6	4
IFNLR1	100	87	83	104	134	106
LOC284632	0	0	1	0	0	0
GRHL3	27	14	55	39	25	68
STPG1	123	98	121	113	97	105
NIPAL3	184	97	134	168	98	195
RCAN3AS	1	0	2	2	1	1
RCAN3	206	129	139	193	160	164
NCMAP	3	3	2	3	1	4
SRRM1	763	636	611	705	705	650
CLIC4	5656	3785	3396	5371	3826	3522
RUNX3	6	10	2	13	9	6
SYF2	498	340	283	430	354	265
C1orf63	126	104	59	167	96	77
RHD	0	0	0	0	1	0
TMEM50A	876	684	669	855	812	672
RHCE	3	1	5	3	6	4
TMEM57	219	208	181	176	213	172
LDLRAP1	193	153	185	188	181	216
MAN1C1	87	62	74	91	57	73
SEPN1	712	734	651	756	815	643
MTFR1L	244	199	206	270	267	214
LOC646471	0	0	2	0	1	0
AUNIP	241	248	240	258	246	234
PAQR7	93	97	63	83	99	66
STMN1	4248	3255	2632	4554	3558	2488
MIR3917	0	0	0	0	0	0
PAFAH2	177	128	132	165	135	147
EXTL1	16	9	9	13	12	22
SLC30A2	1	0	10	7	0	6
TRIM63	1	0	0	0	0	1
PDIK1L	100	69	75	94	66	84
FAM110D	2	2	2	2	5	0
ZNF593	110	127	84	119	142	98
CNKSR1	60	52	81	66	67	71
CATSPER4	8	0	0	2	0	4
CEP85	573	530	465	578	622	501
SH3BGRL3	539	398	528	553	459	542
UBXN11	41	48	52	44	62	56
CD52	21	11	29	22	14	21
AIM1L	149	129	113	116	119	71
ZNF683	0	0	0	0	0	0
LIN28A	22468	18974	16474	21777	18331	13377
DHDDS	331	269	337	321	308	356
HMGN2	384	367	327	472	474	436
RPS6KA1	644	759	718	673	824	692
MIR1976	0	0	0	0	0	0
ARID1A	1017	869	788	930	841	900
PIGV	221	132	122	206	164	135
ZDHHC18	237	284	220	227	331	219
SFN	20	40	14	27	46	20
GPN2	135	123	139	121	168	131
GPATCH3	108	117	90	100	126	106
NR0B2	0	0	0	0	0	0
NUDC	633	757	557	606	762	626
C1orf172	201	178	176	201	188	184
TRNP1	381	263	218	356	248	255
FAM46B	1871	1837	1855	1510	1812	1397
SLC9A1	47	63	48	52	69	80
WDTC1	272	234	210	256	252	253
TMEM222	100	151	127	112	171	138
LOC644961	12	9	7	7	6	7
SYTL1	58	47	90	79	65	74
MAP3K6	66	53	66	98	67	76
FCN3	1	3	1	2	2	2
CD164L2	21	17	11	22	23	7
GPR3	24	40	13	21	52	26
WASF2	376	360	349	396	425	320
AHDC1	208	158	192	167	175	182
FGR	4	5	2	2	3	3
IFI6	61	57	40	83	66	46
FAM76A	246	155	156	294	150	165
STX12	199	127	159	187	177	199
PPP1R8	600	494	473	705	574	483
SCARNA1	15	23	15	16	19	9
THEMIS2	144	151	112	127	142	120
RPA2	573	438	495	572	467	512
SMPDL3B	428	393	364	400	383	319
XKR8	155	173	112	148	177	122
EYA3	455	409	248	398	461	265
PTAFR	38	31	28	27	36	41
DNAJC8	1195	1131	940	1397	1311	878
ATPIF1	741	568	547	876	700	611
SESN2	230	239	330	227	241	313
MED18	171	115	102	165	156	124
PHACTR4	427	349	273	367	390	328
SNHG3	367	344	207	362	400	206
RCC1	912	977	697	1037	1168	771
TRNAU1AP	267	222	193	297	270	215
SNHG12	108	108	63	98	126	89
SNORD99	11	10	11	11	16	16
SNORA61	122	130	89	156	147	51
SNORA44	43	59	44	41	52	29
SNORA16A	16	36	26	15	38	27
RAB42	25	28	12	10	22	14
TAF12	318	259	248	273	249	211
RNU11	105	84	72	107	114	87
GMEB1	226	228	176	239	276	190
YTHDF2	1051	940	1088	1054	1033	1102
OPRD1	8	4	7	2	7	8
EPB41	1810	1478	1289	1573	1531	1171
TMEM200B	195	203	153	146	121	92
SRSF4	830	767	615	785	771	607
MECR	167	147	191	187	173	211
PTPRU	649	584	655	625	624	621
MATN1	3	2	0	2	0	1
MATN1-AS1	1	2	1	0	2	1
LAPTM5	0	1	2	0	0	2
MIR4420	0	0	0	0	0	0
SDC3	283	271	266	305	304	293
PUM1	1930	1581	1268	1816	1717	1320
SNORD103B	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
SNORD85	1	0	8	2	0	0
NKAIN1	268	447	268	292	429	291
SNRNP40	1240	1207	963	1281	1390	987
ZCCHC17	528	536	414	599	541	443
FABP3	265	285	172	328	311	176
SERINC2	85	107	99	88	99	117
LOC149086	1	0	0	0	0	0
LOC284551	0	0	0	0	0	0
TINAGL1	54	66	36	54	68	50
HCRTR1	0	1	0	0	0	0
PEF1	355	349	339	332	379	336
COL16A1	89	91	86	73	94	86
BAI2	166	218	210	200	190	167
MIR4254	0	0	0	0	0	0
SPOCD1	17	8	29	21	11	57
PTP4A2	1735	1556	1190	1794	1573	1240
KHDRBS1	1702	1407	1385	1683	1526	1316
TMEM39B	103	96	61	84	116	78
KPNA6	2241	1849	1688	2064	2131	1830
TXLNA	708	792	622	772	868	712
CCDC28B	123	134	136	177	153	116
IQCC	50	57	41	75	42	53
DCDC2B	0	0	1	1	0	0
TMEM234	24	23	16	28	24	25
EIF3I	1914	1964	1535	2094	2175	1547
MTMR9LP	53	57	49	63	65	40
FAM167B	10	6	10	10	4	1
LCK	449	774	267	350	593	193
HDAC1	1067	1038	831	1211	1155	865
MARCKSL1	2123	2473	1827	2268	2730	1866
FAM229A	1	1	0	2	4	2
TSSK3	1	1	0	1	0	2
BSDC1	490	435	448	498	432	455
ZBTB8B	96	75	77	115	73	61
ZBTB8A	222	174	177	248	165	198
ZBTB8OS	176	152	127	190	143	116
RBBP4	2403	1849	1788	2552	2001	1620
SYNC	0	0	3	1	1	68
KIAA1522	679	587	763	629	548	678
YARS	1302	1605	1095	1252	1626	1085
S100PBP	794	562	492	806	623	490
FNDC5	10	8	15	4	9	13
HPCA	7	8	4	7	7	1
TMEM54	82	53	64	68	50	40
RNF19B	208	163	176	235	236	194
AK2	599	548	399	578	635	384
ADC	7	5	3	5	5	5
TRIM62	69	77	71	48	67	50
ZNF362	187	127	147	180	145	184
PHC2	282	152	205	278	221	245
MIR3605	0	0	0	0	0	0
ZSCAN20	87	74	62	103	86	51
CSMD2	181	105	120	140	111	91
HMGB4	0	0	0	0	0	0
LOC402779	0	0	0	0	0	0
C1orf94	37	63	49	32	50	25
GJB5	1	1	2	3	1	1
GJB4	1	2	2	2	2	3
GJB3	4	4	3	4	5	3
GJA4	5	8	2	2	5	5
SMIM12	234	285	250	292	271	266
DLGAP3	62	78	58	43	62	56
LOC653160	5	4	4	2	6	2
ZMYM6NB	65	66	47	82	61	45
ZMYM6	209	120	155	199	116	157
ZMYM1	897	535	589	874	590	541
SFPQ	3904	4507	1920	2740	4640	2411
ZMYM4	1615	1193	866	1480	1197	1027
KIAA0319L	1091	784	799	944	782	696
NCDN	262	309	295	230	331	312
TFAP2E	3	1	0	5	4	1
PSMB2	787	746	639	767	765	619
C1orf216	104	103	79	101	103	90
CLSPN	345	500	305	338	438	307
AGO4	271	176	181	288	178	214
AGO1	841	661	538	706	637	589
AGO3	158	140	100	142	129	121
TEKT2	6	7	3	7	12	7
ADPRHL2	270	293	216	268	392	260
COL8A2	16	28	20	33	42	36
TRAPPC3	448	360	367	551	494	430
MAP7D1	408	564	400	457	731	649
THRAP3	2621	1962	2213	2412	2008	2363
SH3D21	115	95	81	107	134	101
EVA1B	47	66	28	38	59	62
STK40	103	153	126	102	179	154
LSM10	73	86	56	56	87	80
OSCP1	24	23	15	29	26	25
MRPS15	841	861	545	928	1048	544
CSF3R	0	0	0	0	0	0
GRIK3	10	9	14	10	5	8
MIR4255	0	0	0	0	0	0
LOC728431	2	2	1	6	7	2
ZC3H12A	63	73	60	58	69	64
MEAF6	279	268	167	277	307	197
MIR5581	0	1	0	1	0	0
SNIP1	275	229	216	303	221	233
DNALI1	149	139	151	179	136	151
GNL2	991	938	774	901	1037	768
RSPO1	3	2	4	3	1	4
C1orf109	263	229	232	276	264	221
CDCA8	598	416	519	607	557	542
EPHA10	6	7	6	12	14	7
MANEAL	61	77	60	50	70	51
YRDC	182	183	167	180	206	161
C1orf122	103	166	150	150	220	178
MTF1	114	71	85	82	88	87
INPP5B	396	328	355	418	364	306
SF3A3	1369	1446	1119	1246	1490	1056
FHL3	136	117	122	131	134	142
UTP11L	469	391	350	441	401	389
POU3F1	130	167	115	117	197	97
MIR3659	0	0	0	0	0	0
LOC339442	0	0	0	0	0	0
RRAGC	149	109	123	191	121	135
GJA9-MYCBP	0	0	0	0	0	0
MYCBP	1	0	0	0	0	0
GJA9	0	0	0	0	0	0
RHBDL2	11	5	9	4	7	4
AKIRIN1	3745	2429	2439	3257	2330	2145
NDUFS5	1422	1402	1108	1510	1440	981
MACF1	2988	2540	1569	2472	2354	1867
KIAA0754	214	280	129	204	266	190
BMP8A	10	3	11	7	6	4
PPIEL	15	14	8	14	12	16
PABPC4	1001	845	803	1074	871	849
SNORA55	5	4	4	4	3	2
HEYL	31	28	23	37	29	33
NT5C1A	0	1	0	0	0	0
HPCAL4	28	24	6	14	36	8
PPIE	333	306	257	417	343	254
BMP8B	2	6	3	4	2	1
OXCT2	4	5	2	5	13	6
TRIT1	374	251	240	353	340	241
MYCL1	453	407	411	428	441	310
MFSD2A	66	139	72	66	156	79
CAP1	2037	2096	1406	2103	2137	1826
PPT1	1772	1545	1267	2008	1760	1367
RLF	1445	955	528	1436	1023	562
TMCO2	0	0	0	0	0	0
ZMPSTE24	455	375	373	450	329	395
COL9A2	42	34	55	49	20	51
SMAP2	44	52	35	27	63	70
ZFP69B	60	66	56	65	59	57
ZFP69	46	56	48	79	50	50
EXO5	31	32	40	47	31	38
ZNF684	82	66	30	66	54	44
RIMS3	506	421	460	511	503	441
LOC100130557	42	16	23	36	17	31
NFYC	357	280	234	325	315	233
MIR30E	0	0	0	0	0	1
MIR30C1	0	0	0	0	0	0
KCNQ4	27	23	27	22	21	14
CITED4	47	63	71	71	68	65
CTPS1	709	684	527	672	814	634
SLFNL1-AS1	9	4	5	6	4	3
SLFNL1	0	0	0	0	0	0
SCMH1	115	118	124	122	123	111
EDN2	2	0	0	1	0	0
HIVEP3	3	3	1	1	5	8
GUCA2B	0	0	0	0	0	0
GUCA2A	0	0	0	0	0	0
FOXJ3	793	587	519	701	657	576
RIMKLA	633	587	214	576	639	218
ZMYND12	16	5	14	15	4	7
PPCS	301	176	211	314	189	226
CCDC30	4	2	3	6	1	2
PPIH	380	270	214	380	338	229
YBX1	3570	3288	2742	3640	3587	2682
CLDN19	190	168	194	182	184	133
LEPRE1	400	422	305	427	482	360
C1orf50	78	55	42	76	62	46
LOC100129924	1	2	1	6	2	3
CCDC23	197	141	133	173	179	116
ERMAP	68	45	52	76	54	60
ZNF691	209	155	154	174	169	139
SLC2A1	8491	7946	3672	9174	9350	3250
SLC2A1-AS1	57	21	38	56	38	31
FAM183A	4	2	1	5	3	5
EBNA1BP2	414	551	314	396	544	357
WDR65	3	3	5	5	3	4
TMEM125	171	158	178	207	180	162
C1orf210	61	74	57	47	60	45
TIE1	7	8	5	1	12	5
MPL	0	0	1	2	1	1
CDC20	1516	1655	1367	1445	1882	1407
ELOVL1	196	146	154	171	167	164
MED8	129	146	103	140	121	129
SZT2	130	125	85	139	120	123
HYI	60	54	66	82	69	67
PTPRF	3222	2714	2557	2808	2890	2226
KDM4A	1255	1099	1054	1167	1151	902
KDM4A-AS1	8	8	3	9	11	3
ST3GAL3	75	40	66	99	64	81
ARTN	61	71	51	73	98	34
IPO13	257	248	231	235	253	266
DPH2	334	465	328	266	404	305
ATP6V0B	546	605	490	601	685	547
B4GALT2	516	577	577	590	690	622
CCDC24	117	86	88	132	93	93
SLC6A9	71	67	55	52	60	64
KLF17	0	0	1	0	0	1
DMAP1	148	126	131	160	170	147
ERI3	626	686	583	666	785	561
RNF220	848	915	680	787	917	665
MIR5584	0	0	0	0	0	0
TMEM53	41	49	39	46	58	41
C1orf228	2	1	1	7	3	2
KIF2C	1575	1118	1382	1548	1400	1347
RPS8	10781	8527	8604	12272	9913	8154
SNORD55	15	41	54	18	32	46
SNORD46	43	64	35	46	80	33
SNORD38A	5	5	5	6	7	5
SNORD38B	3	4	6	4	4	1
BEST4	9	17	14	15	22	16
PLK3	25	43	35	33	46	57
TCTEX1D4	0	0	1	0	1	0
BTBD19	0	2	0	2	2	4
PTCH2	61	35	24	49	48	19
EIF2B3	350	286	230	344	263	248
HECTD3	290	285	277	302	291	255
UROD	493	492	423	558	570	492
ZSWIM5	111	97	33	85	102	53
LOC400752	16	8	6	12	13	7
HPDL	229	321	229	187	291	225
MUTYH	242	235	242	242	258	250
TOE1	115	132	107	112	152	117
TESK2	283	198	214	268	174	163
CCDC163P	23	19	13	19	16	15
MMACHC	90	80	90	87	90	91
PRDX1	9448	8792	6559	9479	8998	6144
AKR1A1	1902	1909	1751	2074	2139	1586
NASP	3694	3433	2388	3377	3434	2431
CCDC17	15	9	5	9	8	11
GPBP1L1	1934	1467	1401	1955	1603	1249
RPS15AP10	8	5	1	9	5	1
TMEM69	400	354	306	383	403	223
IPP	75	50	61	81	52	69
MAST2	356	364	327	360	373	379
PIK3R3	242	220	152	226	188	220
TSPAN1	1	0	0	0	0	1
POMGNT1	368	398	383	448	442	444
LURAP1	24	19	19	23	25	18
RAD54L	177	218	158	186	231	190
LRRC41	714	530	681	737	686	808
UQCRH	1325	1278	910	1466	1371	901
NSUN4	153	127	110	174	133	97
FAAH	86	66	71	101	74	54
LOC729041	9	7	3	8	5	3
DMBX1	2	0	2	0	1	4
MKNK1-AS1	0	0	0	0	0	0
KNCN	0	1	0	0	0	0
MKNK1	107	79	89	114	111	93
MOB3C	56	72	22	51	67	34
ATPAF1	605	475	459	627	506	474
TEX38	0	0	0	0	1	0
EFCAB14-AS1	0	0	0	0	0	0
EFCAB14	735	575	526	694	608	480
CYP4B1	1	0	1	0	0	0
CYP4Z2P	0	0	0	0	0	0
